,Country,Population,Motor_vehicles_per_1k,Manufacturing_value_normalized,Total_Motor_vehicles
126,Nepal,28608710.0,5.0,0.0003620361001811255,143043.55000000002
127,Netherlands,1.0,487.0,0.025352070451564547,0.487
129,New Zealand,4783063.0,837.0,0.004691437136968334,4003423.731
130,Nicaragua,6545502.0,79.0,0.000465908188120667,517094.658
131,Niger,23310715.0,7.0,0.00012699374180251077,163175.005
132,Nigeria,200963599.0,64.0,0.00957459246767847,12861670.336000001
133,North Korea,25666161.0,11.0,,282327.771
134,North Macedonia,2083459.0,194.0,0.00040690575229529696,404191.04600000003
135,Norway,1.0,514.0,0.006398428580351008,0.514
136,Oman,4974986.0,335.0,0.007565723565049028,1666620.31
137,Pakistan,216565318.0,17.0,0.009575369433514459,3681610.406
139,Panama,4246439.0,171.0,0.0009394041596402472,726141.069
140,Papua New Guinea,8776109.0,13.0,0.00011052911123602523,114089.417
141,Paraguay,7044636.0,98.0,0.001979481856223846,690374.328
142,Peru,32510453.0,78.0,0.007178324901630129,2535815.3340000003
143,Philippines,108116615.0,38.0,0.01575188557866467,4108431.37
144,Poland,37887768.0,719.0,0.02449571669477234,27241305.192
145,Portugal,1.0,492.0,0.007311188557866466,0.492
147,Qatar,2832067.0,411.0,0.004399927549809506,1163979.537
149,Romania,19364557.0,450.0,0.011900061207919555,8714050.65
150,Russia,145872256.0,388.0,0.05096196364999063,56598435.328
151,Rwanda,12626950.0,5.0,5.9195478108800195e-05,63134.75
153,Saint Lucia,182790.0,165.0,,30160.350000000002
154,Saint Vincent and the Grenadines,110589.0,204.0,,22560.156
155,San Marino,33860.0,1.0,,33.86
157,Saudi Arabia,34268528.0,209.0,0.025169695834114044,7162122.352
158,Senegal,16296364.0,44.0,0.0011276484916619824,717040.0160000001
159,Serbia,1.0,336.0,0.0018341080507151331,0.336
160,Seychelles,97739.0,22.0,2.5535969021297857e-05,2150.2580000000003
161,Sierra Leone,7813215.0,6.0,2.1422884267066392e-05,46879.29
162,Singapore,5804337.0,170.0,0.018939306726625443,986737.29
163,Slovakia,5457013.0,408.0,,2226461.304
164,Slovenia,2078654.0,541.0,0.0027561676347511084,1124551.814
165,Somalia,15442905.0,3.0,1.0143758665917182e-05,46328.715000000004
166,South Africa,58558270.0,174.0,0.010815809131222284,10189138.98
167,South Korea,51225308.0,475.0,,24332021.3
169,Spain,1.0,648.0,0.03982237211916807,0.648
170,Sri Lanka,21323733.0,157.0,0.0036022384610580223,3347826.0810000002
171,Sudan,42813238.0,27.0,0.0010189037536693522,1155957.426
172,Suriname,581372.0,349.0,0.00013705819748922616,202898.828
175,Sweden,10036379.0,479.0,0.018515215789144963,4807425.541
176,Switzerland,8591365.0,720.0,0.03205721066766598,6185782.8
177,Syria,17070135.0,73.0,,1246119.855
179,Tajikistan,9321018.0,38.0,0.0001973417025794766,354198.684
180,Tanzania,1.0,7.0,0.0010202568234338892,0.007
181,Thailand,69037513.0,281.0,0.03395865342576978,19399541.153
183,Togo,8082366.0,27.0,8.808396727250015e-05,218223.882
184,Trinidad and Tobago,1394973.0,292.0,0.0011225667353694335,407332.116
185,Tunisia,11694719.0,129.0,0.0014219134345137717,1508618.751
